Date, Open, High, Low, Close, Volume
7/19/2021,11.8,11.8,11,11,10100
7/14/2021,11.85,11.85,11.85,11.85,200
7/13/2021,11.85,11.85,11.8,11.85,200
7/12/2021,10.8,10.8,10.8,10.8,5700
7/9/2021,10.8,10.8,10.8,10.8,200
7/8/2021,10.8,10.8,10.75,10.8,7200
7/7/2021,11.85,11.85,11.85,11.85,700
7/6/2021,11.85,11.85,11.85,11.85,100
7/5/2021,10.8,10.8,10.8,10.8,400
7/2/2021,10.6,10.6,10.6,10.6,100
7/1/2021,10.8,10.8,10.65,10.65,10000
6/30/2021,10.65,10.65,10.65,10.65,100
6/29/2021,12,12,11.7,11.8,6800
6/28/2021,11.7,11.7,11.7,11.7,4000
6/25/2021,11.75,11.75,11,11.7,8800
6/24/2021,12,12,11.7,11.8,300
6/23/2021,12,12,11.5,11.75,400
6/22/2021,12.5,12.5,12,12.1,500
6/17/2021,11.5,11.5,11.5,11.5,100
6/16/2021,10.5,10.6,10,10.5,6700
6/15/2021,10.5,11,10.5,10.65,21600
6/14/2021,11.2,11.2,10.15,11,42700
6/11/2021,11.2,11.5,11,11.2,14000
6/10/2021,11.5,11.5,11.3,11.4,10500
6/9/2021,11.5,11.5,11.5,11.5,4000
6/8/2021,13,13,12,12.2,5000
6/7/2021,13,14,13,13.15,1400
6/4/2021,14,14,13,13.35,11800
6/3/2021,14,14,14,14,1100
5/31/2021,14.95,14.95,14,14.5,200
5/28/2021,14,14,14,14,1200
5/25/2021,15,15,15,15,200
5/21/2021,15,15,15,15,20100
5/20/2021,15,15,15,15,2600
5/19/2021,15,15,15,15,100
5/17/2021,15,15,15,15,200
5/13/2021,15,15,15,15,100
5/12/2021,14,14,14,14,10000
5/11/2021,14,14,14,14,11000
5/10/2021,14,14,14,14,400
5/5/2021,14,14,14,14,2000
5/3/2021,14,14,14,14,9200
4/29/2021,14,14,14,14,2000
4/27/2021,15,15,15,15,600
4/20/2021,15,15,15,15,800
4/16/2021,15,15,15,15,200
4/15/2021,13.8,13.8,13.8,13.8,2600
4/14/2021,13,13.8,13,13.8,67600
4/13/2021,13.9,14,13.9,13.95,1900
4/6/2021,13.9,14,13.9,13.9,600
3/31/2021,14.3,14.3,14.3,14.3,100
3/17/2021,13.05,13.05,13.05,13.05,700
3/16/2021,13,13,13,13,2000
3/15/2021,14,14,13,13,7000
3/12/2021,13,14,13,13.05,9400
3/11/2021,13,13,13,13,100
3/10/2021,13,13,13,13,4400
3/8/2021,13,13,13,13,2100
3/5/2021,13,13,13,13,4600
3/4/2021,13,13.05,13,13,8100
3/3/2021,13,13,13,13,200
3/1/2021,13.7,13.75,13.7,13.75,3700
2/25/2021,13,13,13,13,1000
2/23/2021,13,13.7,13,13.35,200
2/12/2021,12.5,12.5,12.5,12.5,100
2/9/2021,12.5,12.5,12.5,12.5,2200
2/4/2021,13.85,13.85,13.85,13.85,100
1/19/2021,13.5,14.5,13.5,13.85,300
1/13/2021,13.5,13.5,13.5,13.5,7500
1/12/2021,13.5,13.5,13.5,13.5,200
1/11/2021,13.5,13.5,13.5,13.5,100
1/7/2021,13.5,13.5,13.5,13.5,100
1/4/2021,12.5,12.5,12.5,12.5,3200
12/30/2020,12.5,12.5,12.5,12.5,300
12/23/2020,12.5,12.5,12.5,12.5,200
12/22/2020,12,12.7,12,12.35,200
12/16/2020,12.7,12.7,12.7,12.7,300
12/15/2020,12.7,12.7,12.7,12.7,100
12/11/2020,12,12.7,12,12.1,800
11/23/2020,12.7,12.7,12.7,12.7,500
11/18/2020,12.7,12.7,12.7,12.7,400
11/17/2020,12.7,12.7,12.7,12.7,100
11/16/2020,12.7,12.7,12.7,12.7,100
11/13/2020,12.7,12.7,12.7,12.7,100
11/10/2020,13.25,13.25,13.25,13.25,200
11/9/2020,14,14,14,14,100
10/29/2020,13.25,13.25,13.25,13.25,3200
10/15/2020,13.25,13.25,13.25,13.25,100
10/13/2020,13.2,13.2,13.2,13.2,500
10/9/2020,13.2,13.2,13.2,13.2,300
10/8/2020,13.2,13.2,13.2,13.2,1500
10/6/2020,13.95,13.95,13.95,13.95,2800
10/1/2020,13.2,13.2,13.15,13.15,300
9/29/2020,13.15,13.15,13.15,13.15,100
9/28/2020,13.15,13.15,13.15,13.15,300
9/23/2020,13.15,13.15,13.15,13.15,200
9/21/2020,13.15,13.15,13.15,13.15,100
9/17/2020,13,13,11.25,12.95,4500
9/16/2020,12,12,12,12,300
9/15/2020,12,12,12,12,600
9/14/2020,11.25,11.25,11.25,11.25,100
9/8/2020,12.5,12.5,12.5,12.5,900
9/7/2020,12.5,12.5,12.5,12.5,300
9/4/2020,12.5,12.5,12.5,12.5,300
9/2/2020,11.5,11.5,11.5,11.5,200
8/25/2020,10.5,10.5,10.5,10.5,200
8/21/2020,11,11,11,11,300
8/20/2020,10,10,10,10,800
8/18/2020,10,10,10,10,100
8/17/2020,10.35,10.35,10.35,10.35,100
8/14/2020,10.2,10.5,10.2,10.35,400
8/10/2020,10.5,10.5,10.5,10.5,2000
7/28/2020,10.5,10.5,10.5,10.5,300
7/27/2020,10.2,10.2,10.2,10.2,500
7/24/2020,10.2,10.2,10.2,10.2,500
7/23/2020,9,10.2,9,10,600
7/21/2020,10,10,10,10,500
7/20/2020,10,10,10,10,500
7/14/2020,9.9,9.9,9.9,9.9,800
7/10/2020,9.9,9.9,9.9,9.9,200
7/9/2020,9.9,9.9,9.9,9.9,500
7/7/2020,9,9,9,9,400
7/2/2020,10,10,9,9,41200
6/30/2020,9.9,9.9,9.9,9.9,1100
6/26/2020,10,10,9.9,9.92,5100
6/24/2020,9.9,9.9,9.9,9.9,100
6/23/2020,10,10,10,10,200
6/22/2020,9.9,9.9,9.9,9.9,2000
6/19/2020,9.9,9.9,9.9,9.9,400
6/18/2020,9.9,9.9,9.9,9.9,100
6/16/2020,9.9,9.9,9.9,9.9,100
6/9/2020,9.9,9.9,9,9,10100
6/8/2020,9,9,9,9,2100
6/3/2020,8.24,8.24,8.24,8.24,800
5/27/2020,8.24,8.24,8.24,8.24,100
5/15/2020,9.5,9.5,8.2,8.24,14400
5/8/2020,9,9,9,9,2400
4/28/2020,10,10,10,10,200
4/23/2020,10,10,10,10,600
4/9/2020,10,10,10,10,2000
4/7/2020,11,11,11,11,200
4/6/2020,10,10,10,10,100
3/31/2020,11,11,11,11,100
3/13/2020,11,11,11,11,1400
3/12/2020,10.95,10.95,10.95,10.95,100
3/11/2020,10.95,11,10.95,10.95,500
3/5/2020,10,10,10,10,100
2/26/2020,10,10,10,10,100
2/24/2020,9.9,9.9,9.9,9.9,100
2/17/2020,11,11,11,11,5400
2/13/2020,11,11,11,11,2000
2/12/2020,10.9,11,10.75,10.9,1600
2/7/2020,10.8,10.8,10.8,10.8,500
2/6/2020,10.7,10.7,10.7,10.7,200
2/5/2020,10.75,10.75,10.75,10.75,200
2/3/2020,10.75,10.9,10.7,10.75,600
1/31/2020,11,11,11,11,200
1/30/2020,11,11,11,11,100
1/24/2020,10.05,10.4,10,10.05,1100
1/6/2020,10.4,10.4,10.4,10.4,500
1/3/2020,10.5,10.5,10.5,10.5,900
12/31/2019,10.1,10.1,10.1,10.1,400
12/27/2019,11.2,11.2,11.2,11.2,100
12/24/2019,12.3,12.3,12.3,12.3,100
12/23/2019,12.3,12.3,12.3,12.3,1100
12/19/2019,11.3,11.3,11.3,11.3,100
12/16/2019,11.25,11.25,11.25,11.25,300
12/10/2019,11.25,11.25,11.25,11.25,100
12/9/2019,11.25,11.25,11.25,11.25,100
12/6/2019,10.7,11.25,10.2,10.7,200
12/5/2019,10.3,10.3,10.3,10.3,100
12/2/2019,10.2,10.4,10.2,10.2,1900
