Date, Open, High, Low, Close, Volume,Company
02/23/2023,10.95,10.95,10.95,10.95,1000,EGAD
02/21/2023,10,10,10,10,100,EGAD
02/20/2023,11,11,11,11,600,EGAD
02/17/2023,11.2,11.2,11.2,11.2,600,EGAD
02/16/2023,11,11,11,11,1000,EGAD
02/15/2023,11.5,11.5,11.4,11.45,300,EGAD
02/14/2023,11.4,11.4,11.4,11.4,500,EGAD
02/08/2023,10.8,11.8,10.8,11.45,300,EGAD
02/07/2023,11.4,11.4,11.4,11.4,300,EGAD
02/06/2023,11.4,11.4,10.6,10.8,1300,EGAD
02/02/2023,11.4,11.4,11.4,11.4,100,EGAD
02/01/2023,11.4,11.4,11.4,11.4,500,EGAD
01/31/2023,11.2,11.2,11.2,11.2,200,EGAD
01/27/2023,11.4,11.4,11.4,11.4,300,EGAD
01/26/2023,11.4,11.4,11.4,11.4,1200,EGAD
01/24/2023,11.3,11.3,11.3,11.3,200,EGAD
01/23/2023,10.4,10.4,10.4,10.4,1000,EGAD
01/18/2023,11.3,11.3,11.3,11.3,300,EGAD
01/13/2023,11.95,11.95,10.5,11.25,200,EGAD
01/11/2023,10.55,11.5,10.55,11.35,700,EGAD
01/04/2023,10.5,10.55,10.5,10.55,400,EGAD
01/03/2023,10.5,10.5,10.5,10.5,1900,EGAD
12/30/2022,10.5,10.5,10.5,10.5,100,EGAD
12/29/2022,10.7,10.7,10.7,10.7,100,EGAD
12/23/2022,10.8,10.8,10.5,10.7,6200,EGAD
12/22/2022,10.7,10.7,10.7,10.7,300,EGAD
12/20/2022,10,10,10,10,2400,EGAD
12/19/2022,10.7,10.7,10.7,10.7,100,EGAD
12/16/2022,10.7,10.7,10.7,10.7,400,EGAD
12/14/2022,10.75,10.8,10.75,10.8,200,EGAD
12/08/2022,10.5,11,10.25,10.75,3300,EGAD
12/06/2022,11,11,10.5,10.7,800,EGAD
12/01/2022,11,11,11,11,3000,EGAD
11/30/2022,11.25,11.25,11.25,11.25,200,EGAD
11/29/2022,11.25,11.25,11.25,11.25,100,EGAD
11/28/2022,11.25,11.25,11.25,11.25,100,EGAD
11/25/2022,11.25,11.25,11.25,11.25,4500,EGAD
11/17/2022,11.5,11.5,11.5,11.5,700,EGAD
11/15/2022,11.8,11.8,11.8,11.8,200,EGAD
11/14/2022,11.95,11.95,11.95,11.95,100,EGAD
11/08/2022,11,11,10.8,11,7400,EGAD
11/07/2022,11,11,10.95,10.95,1100,EGAD
11/04/2022,12,12,12,12,100,EGAD
11/03/2022,11,12,11,11.55,2300,EGAD
10/28/2022,11,11,11,11,500,EGAD
10/27/2022,12.9,12.9,11,11.6,800,EGAD
10/26/2022,11.8,12,11,11.85,1300,EGAD
10/25/2022,11.8,12.9,11.7,11.8,2100,EGAD
10/24/2022,11.8,11.8,11.8,11.8,1700,EGAD
10/21/2022,12.9,12.9,12.9,12.9,500,EGAD
10/18/2022,12.9,12.9,12.5,12.85,600,EGAD
10/17/2022,11.8,11.8,11.8,11.8,2600,EGAD
10/14/2022,11.8,11.8,11.8,11.8,600,EGAD
10/06/2022,13,13,13,13,100,EGAD
10/05/2022,13,13,13,13,100,EGAD
10/04/2022,13.1,13.1,13.1,13.1,300,EGAD
09/30/2022,13.45,13.45,13.45,13.45,1000,EGAD
09/20/2022,13.45,13.45,13.45,13.45,100,EGAD
09/19/2022,13.45,13.45,13.45,13.45,100,EGAD
09/15/2022,12.55,12.55,12.55,12.55,300,EGAD
09/14/2022,13.45,13.45,12.5,13.15,300,EGAD
09/02/2022,13.5,13.5,13.5,13.5,200,EGAD
09/01/2022,12.5,13.6,12.5,12.8,400,EGAD
08/26/2022,12.6,12.6,12.4,12.5,1100,EGAD
08/25/2022,13.5,13.5,13.5,13.5,1000,EGAD
08/24/2022,13.6,13.6,13.5,13.5,16000,EGAD
08/19/2022,13.8,13.8,13.8,13.8,1000,EGAD
08/18/2022,13.8,13.8,13.8,13.8,900,EGAD
08/17/2022,13.8,13.8,13.8,13.8,200,EGAD
08/16/2022,13.7,14,13.7,13.8,800,EGAD
08/08/2022,13.7,13.7,13.7,13.7,300,EGAD
08/04/2022,13.7,13.7,13.7,13.7,700,EGAD
08/03/2022,13.7,13.7,13.7,13.7,1000,EGAD
08/02/2022,13.7,13.7,13.7,13.7,700,EGAD
07/27/2022,13.7,13.7,13.7,13.7,2000,EGAD
07/20/2022,13.75,13.75,13.75,13.75,100,EGAD
07/14/2022,13.8,13.8,13.8,13.8,100,EGAD
07/13/2022,13.15,13.15,13.15,13.15,1100,EGAD
07/08/2022,13.15,13.15,13.15,13.15,100,EGAD
07/01/2022,12.2,13.45,12.2,13.15,400,EGAD
06/24/2022,13.45,13.45,13.45,13.45,100,EGAD
06/17/2022,13.45,13.45,13.45,13.45,100,EGAD
05/23/2022,13.45,13.45,13.45,13.45,300,EGAD
05/20/2022,12,13.1,12,12.3,400,EGAD
05/13/2022,13.1,13.1,13.1,13.1,300,EGAD
05/12/2022,13.1,13.1,13.1,13.1,1100,EGAD
